Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-24 09:30:00-04:00,166.9499969482422,166.9499969482422,166.9499969482422,166.9499969482422,166.9499969482422,1552461
2024-04-24 09:31:00-04:00,166.9550018310547,167.07000732421875,166.8000030517578,166.97000122070312,166.97000122070312,209364
2024-04-24 09:32:00-04:00,166.92999267578125,167.33999633789062,166.91000366210938,167.2949981689453,167.2949981689453,215838
2024-04-24 09:33:00-04:00,167.3179931640625,167.33999633789062,166.88999938964844,166.91000366210938,166.91000366210938,205605
2024-04-24 09:34:00-04:00,166.9199981689453,166.95989990234375,166.35000610351562,166.55999755859375,166.55999755859375,165049
2024-04-24 09:35:00-04:00,166.57000732421875,166.81500244140625,166.5399932861328,166.7550048828125,166.7550048828125,182799
2024-04-24 09:36:00-04:00,166.75,166.94000244140625,166.69000244140625,166.91000366210938,166.91000366210938,156719
2024-04-24 09:37:00-04:00,166.90499877929688,167.16000366210938,166.88999938964844,167.08729553222656,167.08729553222656,172186
2024-04-24 09:38:00-04:00,167.09100341796875,167.4600067138672,167.05999755859375,167.39999389648438,167.39999389648438,231039
2024-04-24 09:39:00-04:00,167.39999389648438,167.47000122070312,167.2899932861328,167.46499633789062,167.46499633789062,195653
2024-04-24 09:40:00-04:00,167.4499969482422,167.4600067138672,167.2274932861328,167.3800048828125,167.3800048828125,178798
2024-04-24 09:41:00-04:00,167.37319946289062,167.44000244140625,167.27999877929688,167.33200073242188,167.33200073242188,164921
2024-04-24 09:42:00-04:00,167.34320068359375,167.38999938964844,167.22039794921875,167.35000610351562,167.35000610351562,128626
2024-04-24 09:43:00-04:00,167.36000061035156,167.49000549316406,167.3000030517578,167.4199981689453,167.4199981689453,129005
2024-04-24 09:44:00-04:00,167.42979431152344,167.42999267578125,167.22999572753906,167.30999755859375,167.30999755859375,147413
2024-04-24 09:45:00-04:00,167.3249969482422,167.3800048828125,167.11000061035156,167.1300048828125,167.1300048828125,150693
2024-04-24 09:46:00-04:00,167.125,167.13999938964844,167.1199951171875,167.13999938964844,167.13999938964844,7501
2024-04-24 09:47:00-04:00,167.24000549316406,167.3000030517578,167.14999389648438,167.1649932861328,167.1649932861328,249570
2024-04-24 09:48:00-04:00,167.1699981689453,167.22000122070312,167.0800018310547,167.1699981689453,167.1699981689453,136530
2024-04-24 09:49:00-04:00,167.14999389648438,167.5500030517578,167.14999389648438,167.48989868164062,167.48989868164062,181426
2024-04-24 09:50:00-04:00,167.49000549316406,167.67999267578125,167.49000549316406,167.60899353027344,167.60899353027344,149298
2024-04-24 09:51:00-04:00,167.60000610351562,167.60899353027344,167.36000061035156,167.53500366210938,167.53500366210938,184717
2024-04-24 09:52:00-04:00,167.53500366210938,167.6300048828125,167.45150756835938,167.5800018310547,167.5800018310547,86764
2024-04-24 09:53:00-04:00,167.5850067138672,167.74000549316406,167.52999877929688,167.72500610351562,167.72500610351562,148274
2024-04-24 09:54:00-04:00,167.72000122070312,167.8699951171875,167.63999938964844,167.86019897460938,167.86019897460938,151414
2024-04-24 09:55:00-04:00,167.86500549316406,167.92999267578125,167.75999450683594,167.75999450683594,167.75999450683594,201016
